Model,Input,Cached input,Output
gpt-5.4 (<272K context length),$2.50,$0.25,$15.00
gpt-5.4 (>272K context length),$5.00,$0.50,$22.50
gpt-5.4-pro (<272K context length),$30.00,,$180.00
gpt-5.4-pro (>272K context length),$60.00,,$270.00
gpt-5.2,$1.75,$0.175,$14.00
gpt-5.1,$1.25,$0.125,$10.00
gpt-5,$1.25,$0.125,$10.00
gpt-5-mini,$0.25,$0.025,$2.00
gpt-5-nano,$0.05,$0.005,$0.40
gpt-5.3-chat-latest,$1.75,$0.175,$14.00
gpt-5.2-chat-latest,$1.75,$0.175,$14.00
gpt-5.1-chat-latest,$1.25,$0.125,$10.00
gpt-5-chat-latest,$1.25,$0.125,$10.00
gpt-5.3-codex,$1.75,$0.175,$14.00
gpt-5.2-codex,$1.75,$0.175,$14.00
gpt-5.1-codex-max,$1.25,$0.125,$10.00
gpt-5.1-codex,$1.25,$0.125,$10.00
gpt-5-codex,$1.25,$0.125,$10.00
gpt-5.2-pro,$21.00,-,$168.00
